Title,Release_Date,Rating,No_of_Persons_Voted,Directed_by,Duration,Genres
Suspiria,2018-10-26,7.7,115,Dario Argento,1 h 38 m,Horror
Mother,2010-03-12,8.0,111,Bong Joon Ho,2 h 8 m,Crime
Mother,1997-01-24,8.0,111,Bong Joon Ho,2 h 8 m,Crime
Free Willy,1993-07-16,7.5,95,Simon Wincer,1 h 52 m,Adventure
Another Round,2020-12-04,8.1,240,Thomas Vinterberg,1 h 55 m,Drama
Joe Strummer: The Future Is Unwritten,2007-11-02,7.7,14,Julien Temple,2 h 4 m,Documentary
Shiva Baby,2021-04-02,7.4,63,Emma Seligman,1 h 17 m,Comedy
I Am Love,2010-06-18,7.4,75,Luca Guadagnino,2 h,Drama
Searching for Sugar Man,2012-06-29,8.3,97,Malik Bendjelloul,1 h 26 m,Documentary
Sing Street,2016-04-15,8.4,244,John Carney,1 h 46 m,Comedy
Keane,2005-09-09,7.2,6,Lodge Kerrigan,1 h 40 m,Drama
Brawl in Cell Block 99,2017-10-06,7.1,156,S. Craig Zahler,2 h 12 m,Action
Va Savoir (Who Knows?),2001-09-29,4.9,7,Jacques Rivette,2 h 34 m,Comedy
Official Competition,2022-06-17,7.3,25,"Mariano Cohn 
    
      Gastón Duprat",1 h 54 m,Comedy
Manufactured Landscapes,2007-06-20,5.0,8,Jennifer Baichwal,1 h 20 m,Documentary
Li'l Quinquin,2015-01-02,7.6,11,Bruno Dumont,3 h 20 m,Comedy
Zodiac,2007-03-02,8.5,732,David Fincher,2 h 37 m,Crime
The Thin Blue Line,1988-09-01,8.3,28,Errol Morris,1 h 43 m,Documentary
Priscilla,2023-10-27,6.5,91,Sofia Coppola,1 h 53 m,Biography
The Innocents,2022-05-13,7.0,25,Jack Clayton,1 h 40 m,Horror
The Innocents,2016-07-01,7.0,25,Jack Clayton,1 h 40 m,Horror
All In: The Fight for Democracy,2020-09-09,3.4,20,"Lisa Cortes 
    
      Liz Garbus",1 h 42 m,Documentary
Run Lola Run,1999-06-18,8.4,250,Tom Tykwer,1 h 20 m,Action
Black Swan,2010-12-03,8.1,1295,Darren Aronofsky,1 h 48 m,Drama
The Painter and the Thief,2020-05-22,7.9,18,Benjamin Ree,1 h 42 m,Documentary
Black Bear,2020-12-04,7.0,45,Lawrence Michael Levine,1 h 44 m,Comedy
Our Children,2013-08-02,8.2,5,Joachim Lafosse,1 h 51 m,Crime
Hilary and Jackie,1998-12-30,7.7,7,Anand Tucker,2 h 1 m,Biography
i'm thinking of ending things,2020-09-04,6.8,287,Charlie Kaufman,2 h 14 m,Drama
Angels Wear White,2018-05-04,8.2,6,Vivian Qu,1 h 47 m,Drama
Ratcatcher,2000-10-13,7.1,32,Lynne Ramsay,1 h 34 m,Drama
Indignation,2016-07-29,7.3,51,James Schamus,1 h 50 m,Drama
Speak No Evil,2022-09-09,6.6,60,Christian Tafdrup,1 h 37 m,Drama
Bird,1988-09-30,7.1,16,Clint Eastwood,2 h 41 m,Biography
A Brief History of Time,1992-08-21,7.7,6,Errol Morris,1 h 20 m,Documentary
Enough Said,2013-09-18,7.6,133,Nicole Holofcener,1 h 33 m,Comedy
Still: A Michael J. Fox Movie,2023-05-12,8.2,29,Davis Guggenheim,1 h 35 m,Documentary
Play Misty for Me,1971-11-12,7.5,21,Clint Eastwood,1 h 42 m,Drama
Sr.,2022-11-18,6.6,8,Chris Smith,1 h 29 m,Documentary
28 Weeks Later,2007-05-11,6.8,343,Juan Carlos Fresnadillo,1 h 39 m,Horror
The Age of Shadows,2016-09-23,7.0,32,Jee-woon Kim,2 h 20 m,Action
Chile '76,2023-05-05,5.5,11,Manuela Martelli,1 h 35 m,Drama
Les Misérables,2020-01-10,7.4,825,Tom Hooper,2 h 38 m,Drama
Les Misérables,1998-05-01,7.4,825,Tom Hooper,2 h 38 m,Drama
Insomnia,2002-05-24,8.0,602,Christopher Nolan,1 h 58 m,Drama
Kajillionaire,2020-09-25,7.1,67,Miranda July,1 h 44 m,Comedy
The Boys: The Sherman Brothers' Story,2009-05-22,4.5,4,"Gregory V. Sherman 
    
      Jeff Sherman",1 h 41 m,Documentary
My Flesh and Blood,2003-11-28,2.2,12,Jonathan Karsh,1 h 23 m,Documentary
Styx,2019-02-27,6.8,13,Wolfgang Fischer,1 h 34 m,Action
Control,2007-10-10,7.7,46,Anton Corbijn,2 h 2 m,Biography
Control,2005-04-01,7.7,46,Anton Corbijn,2 h 2 m,Biography
The House of Mirth,2000-12-22,7.3,15,Terence Davies,2 h 20 m,Romance
Long Strange Trip,2017-05-26,7.6,8,Amir Bar-Lev,3 h 58 m,Documentary
Top Gun: Maverick,2022-05-27,7.5,1096,Joseph Kosinski,2 h 10 m,Action
BlackBerry,2023-05-12,7.2,85,Matt Johnson,1 h 59 m,Biography
Starting Out in the Evening,2007-11-23,6.5,6,Andrew Wagner,1 h 51 m,Drama
Tori and Lokita,2023-03-24,5.9,11,"Jean-Pierre Dardenne 
    
      Luc Dardenne",1 h 28 m,Drama
3 Faces,2019-03-08,6.4,17,Jafar Panahi,1 h 40 m,Drama
Luzzu,2021-10-15,7.0,5,Alex Camilleri,1 h 34 m,Drama
Full Metal Jacket,1987-06-26,7.4,617,Stanley Kubrick,1 h 56 m,Drama
Head-On,2005-01-21,7.9,27,Fatih Akin,2 h 1 m,Drama
The Witches,1990-08-24,4.7,112,Robert Zemeckis,1 h 46 m,Adventure
The Witches,2020-10-22,4.7,112,Robert Zemeckis,1 h 46 m,Adventure
birth/rebirth,2023-08-18,6.6,16,Laura Moss,1 h 38 m,Drama
Beware of Mr. Baker,2012-11-28,7.2,6,Jay Bulger,1 h 40 m,Documentary
Aberdeen,2001-08-17,6.3,7,Hans Petter Moland,1 h 46 m,Drama
Thirteen,2000-06-02,8.5,191,Catherine Hardwicke,1 h 40 m,Drama
Thirteen,2003-08-20,8.5,191,Catherine Hardwicke,1 h 40 m,Drama
The Taste of Others,2001-02-09,6.6,7,Agnès Jaoui,1 h 52 m,Comedy
The Deep End,2001-08-08,6.2,18,"Scott McGehee 
    
      David Siegel",1 h 41 m,Crime
A Better Tomorrow,1991-09-24,7.5,8,John Woo,1 h 35 m,Action
Castle in the Sky,1989-04-01,8.5,130,Hayao Miyazaki,2 h 5 m,Animation
In the Fog,2013-06-14,6.9,11,Sergey Loznitsa,2 h 7 m,Drama
A Bug's Life,1998-11-25,7.5,460,"John Lasseter 
    
      Andrew Stanton",1 h 35 m,Animation
Sleep,2024-07-12,5.6,9,Jason Yu,1 h 35 m,Comedy
The War Room,1994-01-01,7.2,5,"Chris Hegedus 
    
      D.A. Pennebaker",1 h 36 m,Documentary
Precious: Based on the Novel 'Push' by Sapphire,2009-11-06,5.7,233,Lee Daniels,1 h 50 m,Drama
Police Story (1985),2018-03-09,8.2,39,"Jackie Chan 
    
      Chi-Hwa Chen",1 h 41 m,Action
Oddity,2024-07-19,7.6,8,Damian Mc Carthy,1 h 38 m,Horror
Girls Will Be Girls,2024-09-13,3.8,4,Richard Day,1 h 19 m,Comedy
Girls Will Be Girls,2003-10-10,3.8,4,Richard Day,1 h 19 m,Comedy
Welcome to Leith,2015-09-09,7.3,9,"Michael Beach Nichols 
    
      Christopher K. Walker",1 h 25 m,Documentary
After Yang,2022-03-04,7.0,65,Kogonada,1 h 36 m,Drama
"Argentina, 1985",2022-09-30,7.4,56,Santiago Mitre,2 h 20 m,Biography
"Love, Antosha",2019-08-02,7.5,6,Garret Price,1 h 32 m,Documentary
Into Great Silence,2007-02-28,3.2,10,Philip Gröning,2 h 49 m,Documentary
Gloria Bell,2019-03-08,6.6,65,Sebastián Lelio,1 h 42 m,Comedy
Monos,2019-09-13,7.4,52,Alejandro Landes,1 h 42 m,Adventure
The Last Man on the Moon,2016-02-26,6.8,12,Mark Craig,1 h 35 m,Documentary
Blue Jasmine,2013-07-26,7.6,411,Woody Allen,1 h 38 m,Comedy
"Crazy, Not Insane",2020-11-18,9.4,67,Alex Gibney,1 h 57 m,Documentary
Racing Dreams,2010-05-21,6.2,6,Marshall Curry,1 h 33 m,Documentary
It Comes at Night,2017-06-09,6.2,383,Trey Edward Shults,1 h 31 m,Drama
Please Give,2010-04-30,7.4,47,Nicole Holofcener,1 h 30 m,Comedy
Hellboy II: The Golden Army,2008-07-11,7.9,382,Guillermo del Toro,2 h,Action
Lumumba,2001-06-27,2.7,6,Raoul Peck,1 h 55 m,Biography
"Good Luck to You, Leo Grande",2022-06-17,6.9,61,Sophie Hyde,1 h 37 m,Comedy
The Elephant Man,1980-10-10,8.6,90,David Lynch,2 h 4 m,Biography
Putty Hill,2011-02-18,5.6,9,Matthew Porterfield,1 h 27 m,Drama
Born Into Brothels: Calcutta's Red Light Kids,2004-12-08,7.5,11,"Zana Briski 
    
      Ross Kauffman",1 h 25 m,Documentary
Breathe,2015-09-11,6.6,25,Mélanie Laurent,1 h 31 m,Drama
Breathe,2017-10-13,6.6,25,Mélanie Laurent,1 h 31 m,Drama
John Wick: Chapter 4,2023-03-24,8.5,927,Chad Stahelski,2 h 49 m,Action
We Met in Virtual Reality,2022-07-27,6.5,4,Joe Hunting,1 h 31 m,Documentary
Enys Men,2023-03-31,5.7,10,Mark Jenkin,1 h 31 m,Fantasy
Barracuda,2017-10-06,6.6,5,"Jason Cortlund 
    
      Julia Halperin",1 h 40 m,Drama
Clash,2017-08-25,7.1,11,Mohamed Diab,1 h 37 m,Drama
Roadrunner: A Film About Anthony Bourdain,2021-07-16,6.3,22,Morgan Neville,1 h 58 m,Documentary
Amanda Knox,2016-09-30,6.9,42,"Rod Blackhurst 
    
      Brian McGinn",1 h 32 m,Documentary
The Color Purple,1985-12-18,8.2,128,Steven Spielberg,2 h 34 m,Drama
The Color Purple,2023-12-25,8.2,128,Steven Spielberg,2 h 34 m,Drama
High Flying Bird,2019-02-08,5.9,43,Steven Soderbergh,1 h 30 m,Drama
The Humans,2021-11-24,5.8,47,Stephen Karam,1 h 48 m,Drama
The Card Counter,2021-09-10,6.6,80,Paul Schrader,1 h 49 m,Crime
Babette's Feast,1988-03-04,8.4,5,Gabriel Axel,1 h 43 m,Drama
Near Dark,1987-10-03,7.3,33,Kathryn Bigelow,1 h 34 m,Horror
5 Broken Cameras,2012-05-25,7.8,16,"Emad Burnat 
    
      Guy Davidi",1 h 30 m,Documentary
One of Us,2017-10-20,7.7,11,"Heidi Ewing 
    
      Rachel Grady",1 h 35 m,Documentary
Diamond Men,2001-09-28,5.3,4,Dan Cohen,1 h 40 m,Drama
Dirty Pretty Things,2003-07-18,7.9,79,Stephen Frears,1 h 37 m,Crime
Punch-Drunk Love,2002-10-11,7.9,269,Paul Thomas Anderson,1 h 35 m,Comedy
Chungking Express,1996-03-08,8.4,100,Kar-Wai Wong,1 h 42 m,Comedy
O'Horten,2009-05-22,7.2,5,Bent Hamer,1 h 30 m,Comedy
The Princess Bride,1987-09-25,8.5,311,Rob Reiner,1 h 38 m,Adventure
The Summit of the Gods,2021-11-24,7.3,18,Patrick Imbert,1 h 35 m,Animation
Lone Star,1996-06-21,7.2,35,John Sayles,2 h 15 m,Drama
Pray the Devil Back to Hell,2008-11-07,6.0,5,Gini Reticker,1 h 12 m,Documentary
The Thin Red Line,1999-01-08,8.1,236,Terrence Malick,2 h 50 m,Drama
Trouble in Mind,1986-03-01,7.8,5,Alan Rudolph,1 h 51 m,Comedy
Diego Maradona,2019-09-20,8.0,36,Asif Kapadia,2 h 10 m,Documentary
A Passage to India,1985-02-01,7.0,5,David Lean,2 h 44 m,Adventure
A Silent Voice,2017-10-20,8.4,255,"Taichi Ishidate 
    
      Naoko Yamada",2 h 10 m,Animation
"I, Daniel Blake",2016-12-23,7.9,98,Ken Loach,1 h 40 m,Drama
The Counterfeiters,2008-02-22,7.7,31,Stefan Ruzowitzky,1 h 38 m,Crime
Roman Polanski: Wanted and Desired,2008-07-11,7.1,7,Marina Zenovich,1 h 39 m,Documentary
After the Wedding,2007-03-30,7.1,30,Susanne Bier,2 h,Drama
After the Wedding,2019-08-09,7.1,30,Susanne Bier,2 h,Drama
Alice in the Cities,1974-10-08,8.5,8,Wim Wenders,1 h 50 m,Drama
Morvern Callar,2002-12-20,6.6,21,Lynne Ramsay,1 h 37 m,Drama
The Dark Knight Rises,2012-07-20,8.9,9430,Christopher Nolan,2 h 45 m,Action
The Lost City of Z,2017-04-14,7.0,265,James Gray,2 h 21 m,Adventure
Girl Picture,2022-08-12,6.2,6,Alli Haapasalo,1 h 40 m,Drama
Devil in a Blue Dress,1995-09-29,6.6,35,Carl Franklin,1 h 42 m,Crime
The Devil's Backbone,2001-11-21,8.2,146,Guillermo del Toro,1 h 46 m,Drama
Avengers: Endgame,2019-04-26,7.9,5946,"Anthony Russo 
    
      Joe Russo",3 h 1 m,Action
Southern Comfort,2001-02-23,4.0,4,Kate Davis,1 h 30 m,Documentary
Southern Comfort,1981-09-25,4.0,4,Kate Davis,1 h 30 m,Documentary
Donbass,2019-01-11,5.8,6,Sergey Loznitsa,2 h 2 m,Drama
A Time for Drunken Horses,2000-10-27,7.1,13,Bahman Ghobadi,1 h 20 m,Drama
The Guard,2011-07-29,7.3,148,John Michael McDonagh,1 h 36 m,Comedy
Bathtubs Over Broadway,2018-11-30,6.3,6,Dava Whisenant,1 h 27 m,Documentary
Blue Ruin,2014-04-25,7.4,154,Jeremy Saulnier,1 h 30 m,Crime
Ryuichi Sakamoto: Coda,2018-07-06,7.4,9,Stephen Nomura Schible,1 h 40 m,Documentary
Ex Machina,2015-04-10,8.0,1438,Alex Garland,1 h 48 m,Drama
Oldboy,2005-03-25,8.5,621,Park Chan-wook,2 h,Action
Oldboy,2013-11-27,8.5,621,Park Chan-wook,2 h,Action
Saloum,2022-09-02,6.8,11,Jean Luc Herbulot,1 h 24 m,Action
The Tribe,2015-06-17,7.5,44,Myroslav Slaboshpytskyi,2 h 12 m,Crime
The Sisters Brothers,2018-09-21,7.2,143,Jacques Audiard,2 h 1 m,Drama
La Ciénaga,2001-10-03,6.5,4,Lucrecia Martel,1 h 43 m,Comedy
Jungle Fever,1991-06-07,5.8,4,Spike Lee,2 h 12 m,Drama
The Real Dirt on Farmer John,2006-01-20,7.0,5,Taggart Siegel,Not Rated,Documentary
The People's Joker,2024-04-05,4.2,45,Vera Drew,1 h 32 m,Comedy
Harry Potter and the Half-Blood Prince,2009-07-15,7.6,887,David Yates,2 h 33 m,Action
Zootopia,2016-03-04,8.6,1696,"Byron Howard 
    
      Rich Moore 
    
      Jared Bush",1 h 48 m,Animation
Best in Show,2000-09-27,7.3,53,Christopher Guest,1 h 30 m,Comedy
Chariots of Fire,1982-04-09,6.8,28,Hugh Hudson,2 h 5 m,Biography
House of Games,1987-10-14,7.5,13,David Mamet,1 h 42 m,Crime
Hard Eight,1997-02-28,6.7,93,Paul Thomas Anderson,1 h 41 m,Crime
Innocence,2005-10-21,9.6,5,Lucile Hadzihalilovic,2 h 2 m,Drama
Innocence,2001-08-17,9.6,5,Lucile Hadzihalilovic,2 h 2 m,Drama
Innocence,2014-09-05,9.6,5,Lucile Hadzihalilovic,2 h 2 m,Drama
I'm Your Man,2021-09-24,7.3,30,Maria Schrader,1 h 45 m,Comedy
The Eight Mountains,2023-04-28,7.2,18,"Felix van Groeningen 
    
      Charlotte Vandermeersch",2 h 27 m,Drama
A Love Song,2022-07-29,6.8,13,Max Walker-Silverman,1 h 21 m,Romance
Speed,1994-06-10,8.5,405,Jan de Bont,1 h 56 m,Action
Non-Fiction,2019-05-03,7.3,21,Olivier Assayas,1 h 48 m,Comedy
Eve's Bayou,1997-11-07,6.2,21,Kasi Lemmons,1 h 49 m,Drama
Before Sunrise,1995-01-27,8.6,362,Richard Linklater,1 h 45 m,Drama
Ruthless People,1986-06-27,7.5,18,"Jim Abrahams 
    
      David Zucker 
    
      Jerry Zucker",1 h 33 m,Comedy
The Breadwinner,2017-11-17,8.0,85,Nora Twomey,1 h 34 m,Animation
Lost in America,1985-02-15,7.4,11,Albert Brooks,1 h 31 m,Comedy
Up and Down,2005-02-25,5.8,10,Jan Hrebejk,1 h 48 m,Comedy
Endless Poetry,2017-07-14,6.9,17,Alejandro Jodorowsky,2 h 8 m,Biography
Spontaneous,2020-10-02,6.5,47,Brian Duffield,1 h 41 m,Comedy
Did You Wonder Who Fired the Gun?,2018-02-28,5.7,7,Travis Wilkerson,1 h 30 m,Documentary
Beach Rats,2017-08-25,6.5,51,Eliza Hittman,1 h 38 m,Drama
The Last Mistress,2008-06-27,7.6,5,Catherine Breillat,1 h 44 m,Drama
Barbarian,2022-09-09,7.3,308,Zach Cregger,1 h 42 m,Horror
Thief,1981-03-27,8.3,68,Michael Mann,2 h 2 m,Action
Tracks,2014-09-19,7.3,38,John Curran,1 h 52 m,Adventure
The Princess of Montpensier,2011-04-15,6.4,11,Bertrand Tavernier,2 h 19 m,Action
The Social Dilemma,2020-09-09,7.6,98,Jeff Orlowski-Yang,1 h 29 m,Documentary
The Fearless Freaks,2005-05-27,2.5,4,Bradley Beesley,1 h 43 m,Documentary
We're All Going to the World's Fair,2022-04-15,4.9,22,Jane Schoenbrun,1 h 26 m,Drama
Magnolia,1999-12-17,4.5,668,Paul Thomas Anderson,3 h 8 m,Drama
Sorry to Bother You,2018-07-06,7.0,251,Boots Riley,1 h 51 m,Comedy
The Case Against 8,2014-06-06,7.5,4,"Ben Cotner 
    
      Ryan White",1 h 49 m,Documentary
Midnight Run,1988-07-20,8.6,165,Martin Brest,2 h 6 m,Action
1917,2019-12-25,8.3,1003,Sam Mendes,1 h 59 m,Action
A Simple Life,2012-04-12,7.9,16,Ann Hui,1 h 58 m,Drama
Kedi,2017-02-10,8.3,46,Ceyda Torun,1 h 20 m,Documentary
Love Exposure,2011-09-02,8.2,37,Sion Sono,3 h 57 m,Action
Waste Land,2010-10-29,8.5,21,"Lucy Walker 
    
      Karen Harley 
    
      João Jardim",1 h 30 m,Documentary
Goldstone,2018-03-02,7.1,16,Ivan Sen,1 h 50 m,Action
"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr.",1999-12-29,6.6,5,Errol Morris,1 h 31 m,Documentary
Ça commence aujourd'hui,2000-09-08,5.9,7,Bertrand Tavernier,1 h 57 m,Drama
Last Orders,2001-12-07,6.0,9,Fred Schepisi,1 h 49 m,Drama
Afghan Star,2009-06-26,6.6,5,Havana Marking,1 h 27 m,Documentary
The Aura,2006-11-17,6.2,10,Fabián Bielinsky,2 h 14 m,Crime
Paradise: Hope,2013-12-06,6.1,20,Ulrich Seidl,1 h 32 m,Drama
Logan Lucky,2017-08-18,6.9,345,Steven Soderbergh,1 h 58 m,Action
James and the Giant Peach,1996-04-12,6.6,33,Henry Selick,1 h 19 m,Animation
The Starling Girl,2023-05-12,6.9,15,Laurel Parmet,1 h 56 m,Drama
High Life,2019-04-05,6.2,157,Claire Denis,1 h 53 m,Drama
Alice Doesn't Live Here Anymore,1974-12-09,7.3,28,Martin Scorsese,1 h 52 m,Drama
Missing,1982-03-12,7.1,12,Costa-Gavras,2 h 2 m,Biography
Missing,2023-01-20,7.1,12,Costa-Gavras,2 h 2 m,Biography
2046,2005-08-05,7.3,79,Kar-Wai Wong,2 h 9 m,Drama
The Bee Gees: How Can You Mend a Broken Heart,2020-12-12,8.0,18,Frank Marshall,1 h 51 m,Documentary
A Quiet Passion,2017-04-14,6.2,43,Terence Davies,2 h 5 m,Biography
Pusher II: With Blood On My Hands,2006-08-18,7.7,27,Nicolas Winding Refn,1 h 40 m,Action
Kung Fu Hustle,2005-04-08,8.4,261,Stephen Chow,1 h 35 m,Action
Apollo 13,1995-06-30,8.1,250,Ron Howard,2 h 20 m,Adventure
Meru,2015-08-14,8.3,23,"Jimmy Chin 
    
      Elizabeth Chai Vasarhelyi",1 h 27 m,Documentary
The Personal History of David Copperfield,2020-08-28,5.1,61,Armando Iannucci,1 h 59 m,Comedy
Rita Moreno: Just a Girl Who Decided to Go for It,2021-06-18,7.3,7,Mariem Pérez Riera,1 h 29 m,Documentary
Clemency,2019-12-27,6.6,32,Chinonye Chukwu,1 h 52 m,Drama
Fancy Dance,2024-06-21,5.7,14,Erica Tremblay,1 h 30 m,Drama
Panic,2001-01-12,6.8,14,Henry Bromell,1 h 28 m,Comedy
A Secret Love,2020-04-29,7.8,21,Chris Bolan,1 h 21 m,Documentary
My Own Private Idaho,1991-10-18,7.2,69,Gus Van Sant,1 h 44 m,Drama
The Aviator,2004-12-17,8.4,504,Martin Scorsese,2 h 50 m,Biography
Till,2022-10-14,6.7,38,Chinonye Chukwu,2 h 10 m,Biography
Hukkle,2003-11-14,5.8,5,György Pálfi,1 h 18 m,Crime
The Big Red One,1980-07-18,7.6,7,Samuel Fuller,1 h 53 m,Drama
Voyage of Time: The IMAX Experience,2016-10-07,6.9,9,Terrence Malick,44 m,Documentary
Trapped,2016-03-04,7.8,30,Luis Mandoki,1 h 46 m,Action
Trapped,2002-09-20,7.8,30,Luis Mandoki,1 h 46 m,Action
Have a Nice Day,2018-01-26,6.3,11,Jian Liu,1 h 17 m,Animation
Zero Days,2016-07-08,7.6,40,Alex Gibney,1 h 56 m,Documentary
Nope,2022-07-22,6.2,504,Jordan Peele,2 h 15 m,Horror
Kramer vs. Kramer,1979-12-19,8.3,108,Robert Benton,1 h 45 m,Drama
They'll Love Me When I'm Dead,2018-11-02,7.9,7,Morgan Neville,1 h 38 m,Documentary
The Shootist,1976-08-20,7.8,12,Don Siegel,1 h 40 m,Drama
Finding Dory,2016-06-17,7.2,900,"Andrew Stanton 
    
      Angus MacLane",1 h 37 m,Animation
A Clockwork Orange,1971-12-20,7.3,1055,Stanley Kubrick,2 h 16 m,Crime
Rescue Dawn,2007-07-04,7.4,81,Werner Herzog,2 h 6 m,Adventure
No Way Out,1987-08-14,7.8,36,Roger Donaldson,1 h 54 m,Action
Human Flow,2017-10-13,6.7,12,Ai Weiwei,2 h 20 m,Documentary
Happy Feet,2006-11-17,6.6,206,"George Miller 
    
      Warren Coleman",1 h 48 m,Animation
Sleeper,1973-12-17,6.9,15,Woody Allen,1 h 29 m,Comedy
Jiro Dreams of Sushi,2012-03-09,7.8,60,David Gelb,1 h 21 m,Documentary
Longlegs,2024-07-12,6.3,159,Oz Perkins,1 h 41 m,Crime
The Dark Horse,2016-04-01,7.0,19,James Napier Robertson,2 h 4 m,Biography
Seduced and Abandoned,2013-10-18,8.1,8,James Toback,1 h 38 m,Documentary
The Gift,2015-08-07,8.0,176,Sam Raimi,1 h 51 m,Drama
The Gift,2000-12-20,8.0,176,Sam Raimi,1 h 51 m,Drama
Every Body,2023-06-30,3.8,29,Julie Cohen,1 h 32 m,Documentary
Paper Moon,1973-05-09,8.5,31,Peter Bogdanovich,1 h 42 m,Comedy
Donnie Brasco,1997-02-28,3.2,478,Mike Newell,2 h 7 m,Biography
Victoria,2015-10-09,7.7,112,Sebastian Schipper,2 h 18 m,Crime
I Killed My Mother,2010-07-30,7.7,73,Xavier Dolan,1 h 36 m,Drama
You Will Die At Twenty,2021-01-22,7.6,5,Amjad Abu Alala,1 h 43 m,Drama
Courage Under Fire,1996-04-12,6.6,50,Edward Zwick,1 h 57 m,Action
Mugabe and the White African,2010-07-23,7.5,6,"Lucy Bailey 
    
      Andrew Thompson",1 h 30 m,Documentary
Broker,2022-12-26,6.9,14,Hirokazu Koreeda,2 h 9 m,Comedy
Queen of Earth,2015-08-26,6.5,42,Alex Ross Perry,1 h 30 m,Drama
Paddington,2015-01-16,7.9,337,Paul King,1 h 35 m,Adventure
Women Talking,2022-12-23,6.1,108,Sarah Polley,1 h 44 m,Drama
Mississippi Grind,2015-09-25,6.8,60,"Anna Boden 
    
      Ryan Fleck",1 h 48 m,Comedy
The Virgin Suicides,2000-04-21,7.7,132,Sofia Coppola,1 h 37 m,Drama
Wetlands,2014-09-05,6.8,31,David Wnendt,1 h 45 m,Comedy
Fly Away Home,1996-09-13,8.0,5,Carroll Ballard,1 h 47 m,Adventure
A Christmas Story,1983-11-18,8.4,199,Bob Clark,1 h 34 m,Comedy
Crimes and Misdemeanors,1989-10-13,8.2,59,Woody Allen,1 h 44 m,Comedy
Pollock,2000-12-15,7.8,61,Ed Harris,2 h 2 m,Biography
Wild Tales,2015-02-20,8.5,251,Damián Szifron,2 h 2 m,Comedy
Corpus Christi,2020-02-19,7.9,47,Jan Komasa,1 h 55 m,Drama
Linda Ronstadt: The Sound of My Voice,2019-09-06,8.0,13,"Rob Epstein 
    
      Jeffrey Friedman",1 h 35 m,Documentary
Stand and Deliver,1988-03-11,7.4,12,Ramón Menéndez,1 h 43 m,Biography
The Royal Hotel,2023-10-06,5.6,34,Kitty Green,1 h 31 m,Thriller
Best of Enemies,2015-07-31,7.9,26,"Robert Gordon 
    
      Morgan Neville",1 h 27 m,Documentary
On Body and Soul,2018-02-02,7.9,56,Ildikó Enyedi,1 h 56 m,Drama
Buzzard,2015-03-06,5.7,18,Joel Potrykus,1 h 37 m,Comedy
WarGames,1983-06-03,7.7,44,John Badham,1 h 54 m,Action
Monty Python's Life of Brian,1979-08-17,7.7,237,Terry Jones,1 h 34 m,Comedy
24 Frames,2018-02-02,6.8,10,Abbas Kiarostami,1 h 54 m,Drama
God's Country,2022-09-16,4.9,33,Julian Higgins,1 h 42 m,Thriller
Grass,2019-04-19,5.5,4,Ron Mann,1 h 20 m,Documentary
Grass,2000-06-02,5.5,4,Ron Mann,1 h 20 m,Documentary
"Apolonia, Apolonia",2024-01-12,6.8,12,Lea Glob,1 h 56 m,Documentary
Red Riding Trilogy,2009-03-03,7.0,32,Anand Tucker,4 h 55 m,Crime
The Three Musketeers,1974-03-29,5.2,174,Paul W.S. Anderson,1 h 50 m,Action
The Three Musketeers,1993-11-12,5.2,174,Paul W.S. Anderson,1 h 50 m,Action
The Three Musketeers,2011-10-21,5.2,174,Paul W.S. Anderson,1 h 50 m,Action
Personal Shopper,2017-03-10,6.5,115,Olivier Assayas,1 h 45 m,Mystery
8 Mile,2002-11-08,8.4,614,Curtis Hanson,1 h 50 m,Drama
Open Hearts,2003-02-21,6.1,11,Susanne Bier,1 h 53 m,Drama
Once Were Warriors,1995-03-03,6.9,7,Lee Tamahori,1 h 42 m,Crime
Neighboring Sounds,2012-08-24,7.9,22,Kleber Mendonça Filho,2 h 11 m,Drama
The Ghost Writer,2010-02-19,7.5,203,Roman Polanski,2 h 8 m,Crime
The Teacher,2017-08-30,7.2,11,Jan Hrebejk,1 h 42 m,Comedy
Babyteeth,2020-06-19,7.1,41,Shannon Murphy,1 h 58 m,Comedy
The Jungle Book,2016-04-15,7.9,84,Wolfgang Reitherman,1 h 18 m,Animation
The Jungle Book,1994-12-25,7.9,84,Wolfgang Reitherman,1 h 18 m,Animation
Slalom,2021-04-09,5.6,7,Charlène Favier,1 h 32 m,Drama
Human Nature,2020-03-13,6.3,22,Michel Gondry,1 h 36 m,Comedy
Human Nature,2002-04-12,6.3,22,Michel Gondry,1 h 36 m,Comedy
The Hunting Ground,2015-02-27,7.1,37,Kirby Dick,1 h 30 m,Documentary
While We're Young,2015-03-27,6.6,127,Noah Baumbach,1 h 37 m,Comedy
Inu-oh,2022-08-12,7.5,12,"Fuga Yamashiro 
    
      Masaaki Yuasa",1 h 38 m,Animation
12:08 East of Bucharest,2007-06-06,7.0,4,Corneliu Porumboiu,1 h 29 m,Comedy
Mediterranea,2015-11-20,8.1,16,Jonas Carpignano,1 h 47 m,Drama
Jockey,2021-12-29,4.6,8,Clint Bentley,1 h 34 m,Drama
The Verdict,1982-12-17,8.0,23,Sidney Lumet,2 h 9 m,Drama
Dallas Buyers Club,2013-11-01,8.1,665,Jean-Marc Vallée,1 h 57 m,Biography
Prophet's Prey,2015-09-18,7.0,6,Amy Berg,1 h 30 m,Documentary
